City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,ancud,-41.8697,-73.8203,12.83,64,17,5.61,CL,1702413267
145,tofol,5.3248,163.0078,28.26,80,71,7.52,FM,1702413267
146,enewetak,11.3474,162.3373,27.61,79,71,9.5,MH,1702413267
147,weno,7.4515,151.8468,26.97,94,100,2.57,FM,1702413268
148,geraldton,-28.7667,114.6,16.23,67,0,2.57,AU,1702413268
149,kuala belait,4.5833,114.1833,25.09,90,78,1.96,BN,1702413268
150,nizhneangarsk,55.7833,109.55,-24.44,91,40,4.02,RU,1702413268
151,puning,23.3107,116.1687,18.6,81,100,2.36,CN,1702413251
152,bethel,41.3712,-73.414,6.42,53,0,4.12,US,1702413269
153,loja,-3.9931,-79.2042,25.67,36,75,7.6,EC,1702413269
154,port mathurin,-19.6833,63.4167,26.31,77,73,5.75,MU,1702413269
155,yellowknife,62.456,-114.3525,-10.88,96,100,7.2,CA,1702413269
156,kodiak,57.79,-152.4072,-6.27,68,0,2.57,US,1702413269
157,tabou,4.423,-7.3528,26.92,79,93,2.43,CI,1702413269
158,jinjing,24.575,118.5972,17.9,81,96,12.09,CN,1702413270
159,beaufort west,-32.3567,22.583,14.99,70,86,7.03,ZA,1702413270
160,tadine,-21.55,167.8833,24.6,67,53,5.92,NC,1702413270
161,ciudad lazaro cardenas,17.9583,-102.2,30.54,46,37,2.62,MX,1702413270
162,qarauyl,48.9451,79.255,-27.46,99,100,7.15,KZ,1702413270
163,payakumbuh,-0.2202,100.6308,21.21,99,100,1.22,ID,1702413270
164,plouguerneau,48.6,-4.5,11.21,81,75,6.17,FR,1702413271
165,barra do corda,-5.5,-45.25,28.92,59,86,0.82,BR,1702413271
166,barstow heights,34.8697,-117.0562,16.5,18,0,1.11,US,1702413040
167,nago,26.5881,127.9761,21.24,77,94,4.76,JP,1702413271
168,ankang,32.68,109.0172,6.27,82,100,2.46,CN,1702413081
169,la passe,45.5549,-0.8967,12.13,85,100,8.91,FR,1702413271
170,udachny,66.4167,112.4,-23.15,97,100,4.25,RU,1702413271
171,tangalle,6.024,80.7911,23.79,93,100,3.35,LK,1702413272
172,shizunai-furukawacho,42.3339,142.3669,-1.21,81,40,6.89,JP,1702413000
173,fort st. john,56.2499,-120.8529,0.94,47,75,6.69,CA,1702413272
174,neryungri,56.6709,124.6491,-37.25,99,100,1.38,RU,1702413272
175,boca raton,26.3587,-80.0831,24.45,66,40,7.72,US,1702413023
176,ulladulla,-35.35,150.4667,20.43,77,100,3.27,AU,1702413272
177,kalamata,37.0389,22.1142,13.95,72,43,1.79,GR,1702413273
178,uturoa,-16.7333,-151.4333,26.71,80,70,7.85,PF,1702413273
179,bikenibeu village,1.3673,173.1241,28.98,84,75,1.03,KI,1702413273
180,christchurch,-43.5333,172.6333,13.08,79,75,9.77,NZ,1702413180
181,east london,-33.0153,27.9116,16.87,87,100,2.01,ZA,1702413273
182,izamal,20.9333,-89.0167,23.71,61,100,3.25,MX,1702413273
183,marsh harbour,26.5412,-77.0636,23.94,80,100,10.69,BS,1702413274
184,nadi,-17.8,177.4167,26.0,69,40,3.09,FJ,1702413274
185,kavaratti,10.5669,72.642,27.82,73,8,1.57,IN,1702413274
186,arkhangel'sk,64.5401,40.5433,-10.94,92,40,3.0,RU,1702413274
187,nova sintra,14.8667,-24.7167,22.2,66,29,6.21,CV,1702413274
188,jeremie,18.65,-74.1167,27.6,75,100,2.15,HT,1702413275
189,anadyr,64.75,177.4833,-25.56,75,0,7.0,RU,1702413275
190,thunder bay,48.4001,-89.3168,-6.01,45,75,10.29,CA,1702413051
191,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,77,75,5.0,RU,1702413067
192,polyarnyy,69.1989,33.4478,-16.76,100,65,4.7,RU,1702413275
193,tual,-5.6667,132.75,28.82,77,93,7.05,ID,1702413275
194,acapulco de juarez,16.8634,-99.8901,30.9,70,0,5.66,MX,1702412999
195,iskateley,67.6803,53.1512,-13.88,96,87,4.02,RU,1702413275
196,magong,23.5654,119.5863,21.17,83,99,13.82,TW,1702413276
197,xichang,27.8964,102.2634,7.71,90,0,0.57,CN,1702413276
198,sarpol-e zahab,34.4611,45.8626,17.82,46,100,4.52,IR,1702413276
199,chonchi,-42.6128,-73.8092,14.56,62,84,1.2,CL,1702413276
200,murzuq,25.9155,13.9184,13.74,43,0,2.4,LY,1702413276
201,smithers,54.7804,-127.1743,-3.82,86,100,2.06,CA,1702413023
202,prince rupert,54.3161,-130.3201,9.83,80,100,20.06,CA,1702413277
203,granbury,32.4421,-97.7942,18.56,53,40,4.63,US,1702413277
204,chibougamau,49.9168,-74.3659,-6.21,93,75,3.6,CA,1702413277
205,brokopondo,4.75,-55.1667,29.44,65,100,0.95,SR,1702413277
206,palombara sabina,42.0667,12.768,13.41,91,100,2.75,IT,1702413277
207,mersing,2.4312,103.8405,23.95,100,20,2.57,MY,1702413277
208,la'ie,21.6477,-157.9253,28.98,71,3,2.24,US,1702413277
209,aykhal,66.0,111.5,-25.02,98,100,3.39,RU,1702413278
210,tazovsky,67.4667,78.7,-22.19,92,100,4.3,RU,1702413278
211,revelstoke,50.9832,-118.2023,-0.99,93,100,0.0,CA,1702413278
212,kuanda,56.3161,116.0806,-35.96,98,91,0.32,RU,1702413278
